LCLid,stdorToU,DateTime,KWH/hh (per half hour) ,Acorn,Acorn_grouped
MAC003718,Std,17/10/2012 13:00:00,0.09,ACORN-A,Affluent
MAC003718,Std,17/10/2012 13:30:00,0.16,ACORN-A,Affluent
MAC003718,Std,17/10/2012 14:00:00,0.212,ACORN-A,Affluent
MAC003718,Std,17/10/2012 14:30:00,0.145,ACORN-A,Affluent
MAC003718,Std,17/10/2012 15:00:00,0.104,ACORN-A,Affluent
MAC003718,Std,17/10/2012 15:30:00,0.122,ACORN-A,Affluent
MAC003718,Std,17/10/2012 16:00:00,0.184,ACORN-A,Affluent
MAC003718,Std,17/10/2012 16:30:00,0.171,ACORN-A,Affluent
MAC003718,Std,17/10/2012 17:00:00,0.246,ACORN-A,Affluent
MAC003718,Std,17/10/2012 17:30:00,0.196,ACORN-A,Affluent
MAC003718,Std,17/10/2012 18:00:00,0.229,ACORN-A,Affluent
MAC003718,Std,17/10/2012 18:30:00,0.446,ACORN-A,Affluent
MAC003718,Std,17/10/2012 19:00:00,0.465,ACORN-A,Affluent
MAC003718,Std,17/10/2012 19:30:00,0.305,ACORN-A,Affluent
MAC003718,Std,17/10/2012 20:00:00,0.39,ACORN-A,Affluent
MAC003718,Std,17/10/2012 20:30:00,0.404,ACORN-A,Affluent
MAC003718,Std,17/10/2012 21:00:00,0.39,ACORN-A,Affluent
MAC003718,Std,17/10/2012 21:30:00,0.288,ACORN-A,Affluent
MAC003718,Std,17/10/2012 22:00:00,0.507,ACORN-A,Affluent
MAC003718,Std,17/10/2012 22:30:00,0.432,ACORN-A,Affluent
MAC003718,Std,17/10/2012 23:00:00,0.609,ACORN-A,Affluent
MAC003718,Std,17/10/2012 23:30:00,0.104,ACORN-A,Affluent
MAC003718,Std,18/10/2012 00:00:00,0.071,ACORN-A,Affluent
MAC003718,Std,18/10/2012 00:30:00,0.102,ACORN-A,Affluent
MAC003718,Std,18/10/2012 01:00:00,0.07,ACORN-A,Affluent
MAC003718,Std,18/10/2012 01:30:00,0.099,ACORN-A,Affluent
MAC003718,Std,18/10/2012 02:00:00,0.101,ACORN-A,Affluent
MAC003718,Std,18/10/2012 02:30:00,0.131,ACORN-A,Affluent
MAC003718,Std,18/10/2012 03:00:00,0.127,ACORN-A,Affluent
MAC003718,Std,18/10/2012 03:30:00,0.114,ACORN-A,Affluent
MAC003718,Std,18/10/2012 04:00:00,0.117,ACORN-A,Affluent
MAC003718,Std,18/10/2012 04:30:00,0.07,ACORN-A,Affluent
MAC003718,Std,18/10/2012 05:00:00,0.101,ACORN-A,Affluent
MAC003718,Std,18/10/2012 05:30:00,0.289,ACORN-A,Affluent
MAC003718,Std,18/10/2012 06:00:00,0.183,ACORN-A,Affluent
MAC003718,Std,18/10/2012 06:30:00,0.261,ACORN-A,Affluent
MAC003718,Std,18/10/2012 07:00:00,0.274,ACORN-A,Affluent
MAC003718,Std,18/10/2012 07:30:00,0.144,ACORN-A,Affluent
MAC003718,Std,18/10/2012 08:00:00,0.206,ACORN-A,Affluent
MAC003718,Std,18/10/2012 08:30:00,0.155,ACORN-A,Affluent
MAC003718,Std,18/10/2012 09:00:00,0.163,ACORN-A,Affluent
MAC003718,Std,18/10/2012 09:30:00,0.188,ACORN-A,Affluent
MAC003718,Std,18/10/2012 10:00:00,0.141,ACORN-A,Affluent
MAC003718,Std,18/10/2012 10:30:00,0.133,ACORN-A,Affluent
MAC003718,Std,18/10/2012 11:00:00,0.068,ACORN-A,Affluent
MAC003718,Std,18/10/2012 11:30:00,0.1,ACORN-A,Affluent
MAC003718,Std,18/10/2012 12:00:00,0.072,ACORN-A,Affluent
MAC003718,Std,18/10/2012 12:30:00,0.108,ACORN-A,Affluent
MAC003718,Std,18/10/2012 13:00:00,0.09,ACORN-A,Affluent
MAC003718,Std,18/10/2012 13:30:00,0.099,ACORN-A,Affluent
MAC003718,Std,18/10/2012 14:00:00,0.112,ACORN-A,Affluent
MAC003718,Std,18/10/2012 14:30:00,0.213,ACORN-A,Affluent
MAC003718,Std,18/10/2012 15:00:00,0.162,ACORN-A,Affluent
MAC003718,Std,18/10/2012 15:30:00,0.111,ACORN-A,Affluent
MAC003718,Std,18/10/2012 16:00:00,0.194,ACORN-A,Affluent
MAC003718,Std,18/10/2012 16:30:00,0.12,ACORN-A,Affluent
MAC003718,Std,18/10/2012 17:00:00,0.149,ACORN-A,Affluent
MAC003718,Std,18/10/2012 17:30:00,0.08,ACORN-A,Affluent
MAC003718,Std,18/10/2012 18:00:00,0.141,ACORN-A,Affluent
MAC003718,Std,18/10/2012 18:30:00,0.511,ACORN-A,Affluent
MAC003718,Std,18/10/2012 19:00:00,0.504,ACORN-A,Affluent
MAC003718,Std,18/10/2012 19:30:00,0.315,ACORN-A,Affluent
MAC003718,Std,18/10/2012 20:00:00,0.374,ACORN-A,Affluent
MAC003718,Std,18/10/2012 20:30:00,0.383,ACORN-A,Affluent
MAC003718,Std,18/10/2012 21:00:00,0.358,ACORN-A,Affluent
MAC003718,Std,18/10/2012 21:30:00,0.533,ACORN-A,Affluent
MAC003718,Std,18/10/2012 22:00:00,0.735,ACORN-A,Affluent
MAC003718,Std,18/10/2012 22:30:00,0.504,ACORN-A,Affluent
MAC003718,Std,18/10/2012 23:00:00,0.398,ACORN-A,Affluent
MAC003718,Std,18/10/2012 23:30:00,0.095,ACORN-A,Affluent
MAC003718,Std,19/10/2012 00:00:00,0.082,ACORN-A,Affluent
MAC003718,Std,19/10/2012 00:30:00,0.088,ACORN-A,Affluent
MAC003718,Std,19/10/2012 01:00:00,0.107,ACORN-A,Affluent
MAC003718,Std,19/10/2012 01:30:00,0.13,ACORN-A,Affluent
MAC003718,Std,19/10/2012 02:00:00,0.128,ACORN-A,Affluent
MAC003718,Std,19/10/2012 02:30:00,0.121,ACORN-A,Affluent
MAC003718,Std,19/10/2012 03:00:00,0.101,ACORN-A,Affluent
MAC003718,Std,19/10/2012 03:30:00,0.077,ACORN-A,Affluent
MAC003718,Std,19/10/2012 04:00:00,0.095,ACORN-A,Affluent
MAC003718,Std,19/10/2012 04:30:00,0.071,ACORN-A,Affluent
MAC003718,Std,19/10/2012 05:00:00,0.238,ACORN-A,Affluent
MAC003718,Std,19/10/2012 05:30:00,0.319,ACORN-A,Affluent
MAC003718,Std,19/10/2012 06:00:00,0.417,ACORN-A,Affluent
MAC003718,Std,19/10/2012 06:30:00,0.259,ACORN-A,Affluent
MAC003718,Std,19/10/2012 07:00:00,0.201,ACORN-A,Affluent
MAC003718,Std,19/10/2012 07:30:00,0.174,ACORN-A,Affluent
MAC003718,Std,19/10/2012 08:00:00,0.208,ACORN-A,Affluent
MAC003718,Std,19/10/2012 08:30:00,0.144,ACORN-A,Affluent
MAC003718,Std,19/10/2012 09:00:00,0.165,ACORN-A,Affluent
MAC003718,Std,19/10/2012 09:30:00,0.398,ACORN-A,Affluent
MAC003718,Std,19/10/2012 10:00:00,0.195,ACORN-A,Affluent
MAC003718,Std,19/10/2012 10:30:00,0.169,ACORN-A,Affluent
MAC003718,Std,19/10/2012 11:00:00,0.187,ACORN-A,Affluent
MAC003718,Std,19/10/2012 11:30:00,0.173,ACORN-A,Affluent
MAC003718,Std,19/10/2012 12:00:00,0.21,ACORN-A,Affluent
MAC003718,Std,19/10/2012 12:30:00,0.219,ACORN-A,Affluent
MAC003718,Std,19/10/2012 13:00:00,0.242,ACORN-A,Affluent
MAC003718,Std,19/10/2012 13:30:00,0.216,ACORN-A,Affluent
MAC003718,Std,19/10/2012 14:00:00,0.238,ACORN-A,Affluent
MAC003718,Std,19/10/2012 14:30:00,0.18,ACORN-A,Affluent
MAC003718,Std,19/10/2012 15:00:00,0.178,ACORN-A,Affluent
MAC003718,Std,19/10/2012 15:30:00,0.182,ACORN-A,Affluent
MAC003718,Std,19/10/2012 16:00:00,0.195,ACORN-A,Affluent
MAC003718,Std,19/10/2012 16:30:00,0.193,ACORN-A,Affluent
MAC003718,Std,19/10/2012 17:00:00,0.196,ACORN-A,Affluent
MAC003718,Std,19/10/2012 17:30:00,0.221,ACORN-A,Affluent
MAC003718,Std,19/10/2012 18:00:00,0.331,ACORN-A,Affluent
MAC003718,Std,19/10/2012 18:30:00,0.29,ACORN-A,Affluent
MAC003718,Std,19/10/2012 19:00:00,0.256,ACORN-A,Affluent
MAC003718,Std,19/10/2012 19:30:00,0.211,ACORN-A,Affluent
MAC003718,Std,19/10/2012 20:00:00,0.272,ACORN-A,Affluent
MAC003718,Std,19/10/2012 20:30:00,0.236,ACORN-A,Affluent
MAC003718,Std,19/10/2012 21:00:00,0.455,ACORN-A,Affluent
MAC003718,Std,19/10/2012 21:30:00,0.341,ACORN-A,Affluent
MAC003718,Std,19/10/2012 22:00:00,0.44,ACORN-A,Affluent
MAC003718,Std,19/10/2012 22:30:00,0.238,ACORN-A,Affluent
MAC003718,Std,19/10/2012 23:00:00,0.683,ACORN-A,Affluent
MAC003718,Std,19/10/2012 23:30:00,0.491,ACORN-A,Affluent
MAC003718,Std,20/10/2012 00:00:00,0.238,ACORN-A,Affluent
MAC003718,Std,20/10/2012 00:00:00,0.238,ACORN-A,Affluent
MAC003718,Std,20/10/2012 00:30:00,0.148,ACORN-A,Affluent
MAC003718,Std,20/10/2012 01:00:00,0.111,ACORN-A,Affluent
MAC003718,Std,20/10/2012 01:30:00,0.141,ACORN-A,Affluent
MAC003718,Std,20/10/2012 02:00:00,0.094,ACORN-A,Affluent
MAC003718,Std,20/10/2012 02:30:00,0.101,ACORN-A,Affluent
MAC003718,Std,20/10/2012 03:00:00,0.07,ACORN-A,Affluent
MAC003718,Std,20/10/2012 03:30:00,0.1,ACORN-A,Affluent
MAC003718,Std,20/10/2012 04:00:00,0.071,ACORN-A,Affluent
MAC003718,Std,20/10/2012 04:30:00,0.099,ACORN-A,Affluent
MAC003718,Std,20/10/2012 05:00:00,0.07,ACORN-A,Affluent
MAC003718,Std,20/10/2012 05:30:00,0.099,ACORN-A,Affluent
MAC003718,Std,20/10/2012 06:00:00,0.072,ACORN-A,Affluent
MAC003718,Std,20/10/2012 06:30:00,0.22,ACORN-A,Affluent
MAC003718,Std,20/10/2012 07:00:00,0.491,ACORN-A,Affluent
MAC003718,Std,20/10/2012 07:30:00,0.272,ACORN-A,Affluent
MAC003718,Std,20/10/2012 08:00:00,0.265,ACORN-A,Affluent
MAC003718,Std,20/10/2012 08:30:00,0.362,ACORN-A,Affluent
MAC003718,Std,20/10/2012 09:00:00,0.358,ACORN-A,Affluent
MAC003718,Std,20/10/2012 09:30:00,0.268,ACORN-A,Affluent
MAC003718,Std,20/10/2012 10:00:00,0.251,ACORN-A,Affluent
MAC003718,Std,20/10/2012 10:30:00,0.228,ACORN-A,Affluent
MAC003718,Std,20/10/2012 11:00:00,0.412,ACORN-A,Affluent
MAC003718,Std,20/10/2012 11:30:00,0.203,ACORN-A,Affluent
MAC003718,Std,20/10/2012 12:00:00,0.181,ACORN-A,Affluent
